,pdv,classes
0,17070,1
1,eneobangangte1,1
2,16666,1
3,14588,1
4,10245,1
5,26255,1
6,334,1
7,11323,1
8,24232,3
9,26612,1
10,337,1
11,26384,1
12,6706,1
13,26473,1
14,338,1
15,18420,1
16,11149,1
17,16938,1
18,26477,1
19,25089,1
20,19980,1
21,21543,1
22,23517,1
23,173,1
24,22010,1
25,295,1
26,15938,1
27,9434,1
28,2465,1
29,17993,1
30,9436,1
31,23859,1
32,6656,1
33,18521,1
34,24254,1
35,17254,1
36,14479,1
37,14336,1
38,26580,1
39,210,4
40,310,1
41,23629,1
42,25918,1
43,23069,1
44,26702,1
45,17127,1
46,1700,1
47,215,1
48,24305,1
49,3445,1
50,25964,1
51,20336,1
52,19897,1
53,19907,1
54,7109,1
55,6590,1
56,919,1
57,335,1
58,22131,1
59,18531,1
60,25524,1
61,11686,1
62,15958,3
63,14743,1
64,1077,1
65,9582,1
66,26746,1
67,16942,1
68,26065,1
69,26229,1
70,341,1
71,10675,1
72,26581,1
73,14824,1
74,14214,3
75,11950,1
76,245,1
77,25114,0
78,6740,1
79,3615,1
80,6577,1
81,11311,1
82,19901,1
83,14725,1
84,19936,1
85,7555,1
86,25711,1
87,110,1
88,26316,1
89,26735,1
90,6870,1
91,26171,1
92,248,1
93,21045,1
94,26295,1
95,1618,1
96,6091,1
97,19249,1
98,19330,1
99,62,1
100,19702,1
101,1711,1
102,26356,1
103,6154,1
104,13811,1
105,24032,1
106,26544,1
107,25917,1
108,26364,1
109,24888,1
110,26283,1
111,11833,1
112,1937,1
113,26517,1
114,25962,1
115,23321,1
116,22011,1
117,19496,1
118,231,1
119,4393,1
120,1718,1
121,23620,1
122,6759,1
123,344,1
124,17762,3
125,26272,1
126,8383,1
127,14025,1
128,13677,1
129,399,1
130,12863,1
131,3451,1
132,3372,1
133,3717,1
134,20444,1
135,14514,1
136,26673,1
137,14042,1
138,3436,1
139,8874,1
140,339,1
141,973,1
142,63,1
143,15368,1
144,26487,1
145,26773,1
146,16670,1
147,8143,1
148,441,1
149,26667,1
150,26264,1
151,16395,1
152,25534,1
153,20247,1
154,19906,1
155,23662,1
156,17409,1
157,7195,3
158,20375,1
159,19900,1
160,26675,1
161,24291,1
162,26281,1
163,885,1
164,26075,1
165,14709,1
166,438,1
167,25536,1
168,5199,1
169,6166,1
170,15207,1
171,10763,1
172,24994,1
173,15082,1
174,22728,1
175,1912,1
176,11919,1
177,24374,1
178,20939,1
179,15261,1
180,26326,1
181,26151,1
182,2778,1
183,943,1
184,612,1
185,893,1
186,14883,1
187,26441,1
188,7347,1
189,26181,1
190,9096,1
191,26774,1
192,26709,1
193,eneomboudaMIT8,1
194,26208,1
195,WinTsamo,1
196,14105,1
197,26714,1
198,415,1
199,17401,1
200,13715,1
201,1198,1
202,26290,1
203,3503,1
204,26535,1
205,18060,1
206,1585,1
207,9469,1
208,26288,1
209,7758,1
210,26760,1
211,26424,1
212,2516,1
213,15344,1
214,18315,1
215,15078,1
216,26215,1
217,13615,1
218,815,1
219,914,1
220,26433,1
221,10682,1
222,8657,1
223,16951,1
224,23931,1
225,8931,1
226,25558,1
227,1216,1
228,1383,1
229,4765,3
230,16391,1
231,3134,1
232,16750,1
233,25902,1
234,2414,1
235,12254,1
236,23680,1
237,24730,1
238,13136,1
239,25448,1
240,26772,1
241,14711,1
242,12656,1
243,25090,1
244,24337,1
245,3580,1
246,25915,1
247,15222,1
248,17287,1
249,20905,1
250,16039,1
251,164,1
252,18112,1
253,26778,1
254,246,1
255,20051,1
256,24644,1
257,26271,1
258,9782,1
259,21476,3
260,26624,1
261,14067,1
262,26407,1
263,26788,1
264,13584,1
265,9116,1
266,8158,1
267,19291,1
268,1911,1
269,2888,1
270,18207,1
271,8303,1
272,26225,1
273,9470,1
274,17841,1
275,6751,1
276,20449,1
277,10766,1
278,10374,1
279,9797,1
280,16138,1
281,26097,1
282,13060,1
283,1560,1
284,17809,1
285,13882,1
286,26386,1
287,15021,1
288,1619,1
289,1261,1
290,384,1
291,23625,1
292,17689,1
293,1660,1
294,14191,1
295,4595,1
296,16537,1
297,15303,1
298,14936,1
299,8914,1
300,25755,1
301,6308,1
302,13411,1
303,1229,1
304,5754,1
305,7618,1
306,14869,1
307,9255,1
308,20300,1
309,12082,1
310,24290,1
311,23772,1
312,1477,1
313,17973,1
314,23079,1
315,15883,1
316,2937,1
317,26732,1
318,18461,1
319,17941,1
320,10764,1
321,21354,1
322,18710,1
323,11092,1
324,15937,1
325,7180,1
326,19751,3
327,26327,1
328,26330,1
329,14472,3
330,11034,1
331,19068,1
332,21785,1
333,12126,1
334,2674,1
335,14955,1
336,26235,1
337,14422,1
338,20329,1
339,9063,1
340,9743,3
341,22590,1
342,26719,1
343,22920,1
344,8419,1
345,9899,1
346,26763,1
347,26508,1
348,8353,1
349,6545,1
350,20130,1
351,ntmbang,1
352,9795,1
353,17104,1
354,25101,1
355,18861,1
356,19684,1
357,11671,1
358,7428,1
359,patbikeck,1
360,10950,1
361,25718,1
362,8639,1
363,19668,1
364,26314,1
365,mbomahamt3,1
366,12302,1
367,14474,1
368,5321,1
369,3092,1
370,ntobono,1
371,21426,1
372,19803,1
373,12357,1
374,26668,1
375,19130,1
376,26767,1
377,26576,1
378,16389,1
379,25399,1
380,15398,1
381,3995,1
382,25497,1
383,12772,1
384,25761,1
385,186,1
386,26488,1
387,18689,1
388,24767,1
389,13644,1
390,6473,1
391,1326,1
392,23155,1
393,23063,1
394,12875,1
395,9095,1
396,26251,1
397,16664,1
398,19027,1
399,8280,1
400,8685,1
401,14555,1
402,25959,1
403,7102,1
404,26396,3
405,26000,1
406,24407,1
407,26645,1
408,20255,1
409,CMCBSIMO1,1
410,25891,1
411,3050,1
412,12637,1
413,16988,1
414,13865,1
415,26436,1
416,15280,1
417,26243,1
418,19499,1
419,25465,1
420,11754,1
421,15331,1
422,22071,3
423,19898,1
424,26567,1
425,1,2
426,24707,1
427,kensongtia,1
428,16565,1
429,15373,1
430,17142,1
431,26775,1
432,14312,1
433,778,1
434,4267,1
435,2779,1
436,26107,1
437,12725,1
438,26236,1
439,18730,1
440,7574,1
441,8942,1
442,20774,1
443,15881,1
444,26573,1
445,15757,1
446,14767,1
447,11547,1
448,26780,1
449,9127,1
450,26653,1
451,20873,1
452,22581,1
453,22154,1
454,26106,1
455,18909,1
456,179,1
457,26742,1
458,10707,1
459,6821,1
460,21745,1
461,17491,1
462,26651,1
463,3690,1
464,23049,1
465,25430,1
466,25046,1
467,7403,1
468,21288,1
469,5207,1
470,26445,1
471,24602,1
472,Richmond4,1
473,15177,1
474,19055,1
475,13349,1
476,20306,1
477,26459,1
478,11098,1
479,21584,1
480,17252,1
481,468,1
482,3573,1
483,24493,1
484,26628,1
485,4436,1
486,26582,1
487,25656,1
488,576,1
489,15231,1
490,18379,1
491,19721,1
492,14510,1
493,24646,1
494,Ngoateh,1
495,25015,1
496,6753,1
497,18064,1
498,11723,1
